ID	ORF	UniGeneHsID
10109_at	ARPC2	Hs.529303
10110_at	SGK2	Hs.300863
10111_at	RAD50	Hs.655835
10112_at	KIF20A	Hs.718626
10113_at	PREB	Hs.279784
10114_at	HIPK3	Hs.201918
10116_at	FEM1B	Hs.362733
10117_at	ENAM	Hs.667018
1012_at	CDH13	Hs.654386
10120_at	ACTR1B	Hs.98791
10121_at	ACTR1A	Hs.153961
10123_at	ARL4C	Hs.111554; Hs.719190
10125_at	RASGRP1	Hs.591127
10126_at	DNAL4	Hs.632766
10127_at	ZNF263	Hs.611475
10128_at	LRPPRC	Hs.368084
10129_at	FRY	Hs.507669; Hs.718654
1013_at	CDH15	Hs.148090
10130_at	PDIA6	Hs.212102
10131_at	TRAP1	Hs.30345
10133_at	OPTN	Hs.332706
10134_at	BCAP31	Hs.522817
10135_at	NAMPT	Hs.489615
10136_at	CELA3A	Hs.654349
10137_at	RBM12	Hs.246413
10138_at	YAF2	Hs.708084
10139_at	ARFRP1	Hs.389277
1014_at	CDH16	Hs.513660
10140_at	TOB1	Hs.709952; Hs.714409; Hs.719207
10141_at	C4orf6	Hs.177972
10142_at	AKAP9	Hs.651221
10143_at	CLEC3A	Hs.177936
10144_at	FAM13A	Hs.97270
10146_at	G3BP1	Hs.587054
10147_at	SFRS14	Hs.515271
10148_at	EBI3	Hs.501452
10149_at	GPR64	Hs.146978
1015_at	CDH17	Hs.591853
10150_at	MBNL2	Hs.657347
10151_at	HNRNPA3P1	Hs.632956
10152_at	ABI2	Hs.471156
10153_at	CEBPZ	Hs.135406
10154_at	PLXNC1	Hs.584845
10155_at	TRIM28	Hs.467408
10157_at	AASS	Hs.156738
10158_at	PDZK1IP1	Hs.431099
10159_at	ATP6AP2	Hs.495960
1016_at	CDH18	Hs.317632
10160_at	FARP1	Hs.403917
10161_at	LPAR6	Hs.123464; Hs.676545
10162_at	LPCAT3	Hs.655248
10163_at	WASF2	Hs.590909
10164_at	CHST4	Hs.251383
10165_at	SLC25A13	Hs.489190
10166_at	SLC25A15	Hs.646645; Hs.655240
10168_at	ZNF197	Hs.157035
10169_at	SERF2	Hs.424126
1017_at	CDK2	Hs.19192; Hs.689624
10170_at	DHRS9	Hs.179608
10171_at	RCL1	Hs.194121
10172_at	ZNF256	Hs.596242
10174_at	SORBS3	Hs.528572
10175_at	CNIH	Hs.294603
10178_at	ODZ1	Hs.23796; Hs.537002; Hs.716649
10179_at	RBM7	Hs.7527
1018_at	CDK3	Hs.706766
