ID	GSM597452	GSM597453	GSM597454	GSM597469	GSM597470	
Label	P	P	P	NP	NP	
152098_at	33.6	38.0	46.9	49.2	27.4	
1520_at	446.5	326.2	204.3	416.8	197.5	
152100_at	1081.0	825.6	1101.9	1000.9	931.5	
152110_at	12.9	28.1	20.2	43.6	12.9	
152118_at	5.8	6.1	6.4	6.1	5.1	
152137_at	2380.3	2284.5	1980.7	2734.4	2742.9	
152185_at	49.9	47.7	60.7	54.9	52.2	
152189_at	235.0	182.6	118.0	283.0	247.2	
152195_at	36.2	50.8	51.5	41.4	31.7	
1521_at	252.6	149.0	150.8	96.4	62.8	
152206_at	13.2	13.1	12.8	15.2	11.7	
152217_at	914.8	989.3	818.9	819.5	918.8	
152273_at	1144.9	788.7	771.5	835.9	950.2	
1522_at	1632.4	1537.5	702.8	1199.5	1109.0	
152330_at	119.0	105.7	118.7	75.2	89.6	
1523_at	330.4	376.7	229.6	307.4	257.0	
152404_at	236.4	273.6	639.2	202.4	337.1	
152405_at	6.0	6.7	6.4	7.2	6.0	
152485_at	134.4	111.1	103.7	196.6	200.8	
1524_at	910.4	651.4	504.9	125.4	291.7	
152503_at	492.1	532.6	527.0	567.5	532.1	
152518_at	264.0	269.8	364.8	294.7	287.0	
152559_at	542.9	514.0	893.9	581.8	718.5	
152573_at	1574.4	1256.0	1523.0	978.7	779.7	
152579_at	498.2	499.7	353.1	486.2	422.6	
152586_at	4.9	3.6	4.7	4.8	3.8	
1525_at	18.5	18.9	24.5	16.9	15.0	
152742_at	7.3	9.3	31.8	10.0	9.8	
152756_at	47.1	49.6	68.2	23.2	53.8	
152789_at	24.4	23.3	29.9	26.3	40.2	
152815_at	21.6	18.5	18.0	15.2	15.5	
152816_at	6.5	16.7	15.6	13.2	9.4	
152877_at	56.0	72.2	57.8	101.2	81.5	
1528_at	2298.0	1966.2	2584.7	2605.2	2382.6	
152926_at	211.9	201.2	313.9	202.8	219.6	
152940_at	33.9	10.4	8.1	13.1	14.0	
152992_at	107.8	79.8	140.9	151.2	131.8	
152_at	389.6	401.0	249.7	355.1	297.3	
153020_at	18.2	7.3	5.3	14.2	6.7	
153090_at	1180.5	1211.8	1042.0	1170.9	1257.0	
153129_at	257.7	284.8	427.1	320.0	427.1	
153218_at	4.5	5.1	4.3	5.3	5.1	
153222_at	173.7	175.5	172.0	131.5	101.2	
153241_at	268.1	285.2	307.8	276.4	257.9	
153339_at	781.3	620.8	487.1	733.2	813.1	
153364_at	34.7	26.3	39.6	27.8	31.5	
153396_at	88.1	104.9	123.0	89.5	99.3	
153443_at	130.9	84.6	80.0	102.1	123.6	
153469_at	7.8	6.6	5.6	5.8	7.6	
153478_at	18.2	30.5	32.2	24.0	25.7	
1534_at	595.7	734.3	408.0	749.4	628.4	
153527_at	1208.4	1153.1	910.9	1076.2	1074.8	
153562_at	135.4	142.6	70.9	61.8	82.0	
153572_at	13.5	10.4	15.6	35.2	15.5	
153579_at	273.4	564.4	520.8	1694.4	1041.4	
1535_at	153.5	105.3	51.9	125.2	81.1	
153642_at	11.0	11.5	10.5	19.6	10.0	
153643_at	4.5	7.6	7.6	9.1	13.5	
153657_at	11.4	18.5	23.6	16.5	17.8	
153684_at	34.6	49.7	20.9	36.2	31.2	
1536_at	196.5	135.1	70.6	129.3	81.9	
153733_at	88.8	74.5	221.9	133.3	161.6	
153745_at	6.5	6.8	7.3	7.5	6.9	
153768_at	255.0	268.9	261.2	239.5	219.7	
153769_at	106.1	59.8	138.0	184.4	102.4	
153770_at	35.1	128.9	88.0	66.9	94.8	
1537_at	878.4	834.2	829.4	820.4	829.9	
153830_at	1419.6	1466.6	1347.1	1478.8	1633.9	
1538_at	4.2	5.0	6.2	5.5	5.7	
153918_at	13.3	10.2	10.3	36.0	10.9	
1539_at	4.9	5.3	5.4	7.5	5.7	
153_at	20.5	17.0	21.1	16.8	23.3	
154007_at	425.1	371.6	465.0	422.2	430.0	
154043_at	155.3	123.5	184.6	143.9	163.5	
154075_at	25.4	20.4	28.8	23.1	39.5	
154091_at	81.5	81.4	86.7	64.5	52.7	
1540_at	283.5	284.2	285.7	257.4	273.9	
154141_at	989.1	863.7	1337.9	596.5	694.6	
154197_at	15.1	14.0	20.7	14.6	15.2	
154214_at	67.5	93.1	103.5	113.9	80.8	
154215_at	1042.5	1081.3	1717.3	882.1	1051.6	
154288_at	26.4	22.1	32.9	20.3	26.2	
154313_at	53.4	58.5	51.7	43.6	49.3	
1543_at	4.7	4.7	9.0	5.3	5.3	
154467_at	270.6	308.9	287.0	226.1	191.2	
1544_at	9.1	9.8	10.2	11.3	12.6	
1545_at	1017.3	911.2	966.0	795.3	693.6	
154661_at	89.9	77.9	53.8	85.3	100.7	
154664_at	21.8	27.5	40.9	6.6	14.0	
154743_at	596.1	568.4	539.1	562.6	598.0	
154754_at	17.3	10.7	12.3	13.6	13.5	
154791_at	1233.1	1106.1	1127.6	1075.4	1053.8	
154796_at	1820.7	2133.7	2109.3	2056.7	1872.2	
154810_at	320.9	299.5	303.2	278.1	242.7	
154865_at	11.3	18.5	12.1	41.5	9.7	
154872_at	4.7	4.7	4.8	5.9	4.8	
154881_at	11.5	9.9	10.0	7.9	10.4	
1548_at	42.9	45.2	43.8	161.1	76.6	
1549_at	4.4	5.1	5.3	7.4	7.3	
154_at	666.3	400.8	438.6	361.9	379.3	
155006_at	5.8	6.0	6.2	8.0	6.4	
155038_at	50.4	53.4	28.9	34.2	53.9	
155051_at	38.1	44.4	32.7	33.5	51.3	
155054_at	24.8	23.2	24.9	21.4	24.8	
155060_at	552.9	598.5	687.3	592.5	545.9	
155061_at	637.7	710.9	480.5	598.8	581.1	
155066_at	1187.0	1508.9	1379.0	1258.0	1352.6	
155185_at	24.8	28.0	28.1	25.8	28.2	
1551_at	5.3	6.4	6.1	7.7	5.9	
155368_at	24.5	21.2	13.2	15.4	18.5	
155382_at	68.5	97.7	79.7	122.2	108.2	
1553_at	6.3	6.2	8.9	9.4	7.1	
155400_at	470.8	586.1	977.9	854.0	851.3	
155435_at	61.3	78.0	78.7	63.2	64.7	
155465_at	4.0	3.7	4.0	4.0	4.2	
1555_at	13.3	12.1	18.5	22.7	15.1	
1556_at	82.5	59.1	98.7	53.5	92.7	
1557_at	7.9	6.8	8.2	8.9	9.1	
1558_at	5.9	5.1	9.2	6.6	17.8	
1559_at	4.7	4.2	4.5	4.4	7.6	
155_at	10.2	9.5	11.3	12.7	14.3	
1562_at	5.7	5.4	5.1	5.6	7.4	
156_at	94.3	78.0	89.4	102.8	89.5	
1571_at	41.0	31.6	89.7	40.2	53.0	
157285_at	248.7	200.6	249.0	271.7	285.1	
157310_at	115.2	149.1	120.7	54.1	63.6	
157313_at	19.3	11.7	15.5	15.3	12.5	
157378_at	110.5	116.8	112.5	104.7	111.0	
1573_at	227.9	473.7	376.0	119.5	153.2	
157506_at	393.4	338.0	440.7	246.6	330.4	
157567_at	755.2	859.2	950.8	944.9	1203.0	
157570_at	8.3	6.6	10.8	16.9	8.1	
157574_at	52.1	56.0	68.6	27.1	54.0	
157638_at	357.9	293.6	361.5	320.0	406.3	
157680_at	131.7	136.8	134.8	143.8	131.5	
157695_at	40.2	30.8	46.4	20.0	36.6	
157697_at	370.2	348.7	321.1	372.4	379.7	
1576_at	9.9	9.8	11.1	16.0	13.1	
157724_at	4.0	3.8	4.2	4.3	4.1	
157739_at	11.2	15.0	11.9	12.9	12.4	
157740_at	6.9	11.0	6.1	8.8	7.2	
157753_at	20.1	15.7	25.6	15.6	29.7	
157769_at	779.6	585.0	1147.1	809.8	878.4	
157773_at	147.2	156.3	103.0	120.0	151.9	
157777_at	6.1	5.7	6.9	6.6	5.6	
1577_at	11.3	18.3	19.7	14.9	7.8	
157807_at	15.7	15.0	13.7	20.4	14.0	
157855_at	4.4	4.5	6.7	6.1	4.5	
