ID	ORF	UniGeneHsID	GSM597452	GSM597453	GSM597454	GSM597469	GSM597470	
Label			P	P	P	NP	NP	
25953_at	PNKD	Hs.98475	486.7	535.9	547.9	380.6	440.5	
25956_at	SEC31B	Hs.18889	284.7	484.1	514.1	369.7	493.1	
25957_at	SFRS18	Hs.520287	1444.5	1617.1	2228.1	1916.3	1940.4	
25959_at	KANK2	Hs.284208; Hs.719195	2734.4	2770.4	2937.3	2770.1	2764.3	
2595_at	GANC	Hs.143261	202.3	220.5	197.7	183.1	179.0	
25960_at	GPR124	Hs.274136	1072.1	1015.1	749.6	772.4	981.1	
25961_at	NUDT13	Hs.533657	45.7	54.9	52.0	55.8	47.7	
25962_at	KIAA1429	Hs.202238	900.7	1035.4	871.4	903.5	864.6	
25963_at	TMEM87A	Hs.511138; Hs.719196	1677.0	1668.9	1557.5	1417.1	1452.0	
25966_at	C2CD2	Hs.473894; Hs.675058	1887.3	2055.5	1550.0	2845.3	2775.8	
2596_at	GAP43	Hs.134974	731.6	631.4	336.3	259.2	538.4	
25970_at	SH2B1	Hs.15744	90.6	123.0	124.9	110.6	114.3	
25972_at	UNC50	Hs.13370	916.3	1122.5	1269.0	1195.5	1250.5	
25973_at	PARS2	Hs.380169	106.2	123.8	84.0	60.7	65.5	
25974_at	MMACHC	Hs.13024	56.2	77.9	80.8	64.7	106.4	
25975_at	EGFL6	Hs.12844	40.5	16.9	197.2	3505.6	1035.9	
25976_at	TIPARP	Hs.719169	1044.9	771.9	728.3	832.9	532.3	
25977_at	NECAP1	Hs.555927	341.2	341.6	392.9	243.7	234.2	
25978_at	CHMP2B	Hs.476930	766.5	692.6	670.2	616.3	692.9	
25979_at	DHRS7B	Hs.386989	622.1	591.6	449.9	400.4	674.5	
2597_at	GAPDH	Hs.544577; Hs.592355; Hs.598320	9481.6	10192.0	8806.2	9422.8	8870.9	
25980_at	C20orf4	Hs.11314	807.6	821.4	703.1	695.5	604.5	
25981_at	DNAH1	Hs.655469	21.1	21.8	25.1	23.2	22.7	
25983_at	NGDN	Hs.9043	1715.9	1725.2	1501.7	1521.4	1390.5	
25984_at	KRT23	Hs.9029	69.0	59.2	39.1	23.8	46.9	
25987_at	TSKU	Hs.8361	1702.0	1858.5	1087.4	2575.3	1645.6	
25988_at	HINFP	Hs.504091	236.2	345.4	233.0	205.8	207.1	
25989_at	ULK3	Hs.513034	163.7	216.8	295.2	226.0	262.5	
25992_at	SNED1	Hs.471834	780.3	645.9	913.6	623.0	515.4	
25994_at	HIGD1A	Hs.593134; Hs.719119; Hs.7917	456.4	401.7	400.2	482.9	490.8	
25996_at	REXO2	Hs.677190; Hs.7527	1537.7	1379.4	1180.3	1406.8	1488.3	
